original_label,file_prefix,long_label,short_label
10_OPINION_advice,10_O_advice,advice,advice
NA,comments,online_news_comments,comments
28_INFORMATIONAL DESCRIPTION_EXPLANATION_description_of_person,28_IDE_pers,description_of_a_person,description_person
06_INTERACTIVE-DISCUSSION,06_ID,interactive_discussion,discussion
30_INFORMATIONAL_DESCRIPTION_EXPLANATION_encyclopedia_article,30_IDE_ency,encyclopedia_articles,encyclopedia
27_INFORMATIONAL_DESCRIPTION_EXPLANATION_faq_about_information,27_IDE_faq,faq,faq
29_INFORMATIONAL_DESCRIPTION_EXPLANATION_informational_blog,29_IDE_blog,informational_blog,informational_blog
16_INFORMATIONAL_PERSUASION_description_with_intent_to_sell,16_IP_sale,description_for_sale,desription_sale
22_NARRATIVE_news_report-slash-blog,22_N_news,news_report,news
09_OPINION_opinion_blog,09_O_blog,opinion_blog,opinion_blog
19_NARRATIVE_personal_blog,19_N_personal,personal_blog,personal_blog
07_HOW_TO_INSTRUCTIONAL_recipe,07_I_recipe,recipe,recipe
11_OPINION_religious_blog-slash-sermon,11_O_religion,religious_sermon,religious_sermon
31_INFORMATIONAL_DESCRIPTION_EXPLANATION_research_article,31_IDE_res,research_article,research
12_OPINION_review,12_O_review,review,review
21_NARARTIVE_sports_report,21_N_sport,sports_report,sports
20_NARRATIVE_travel_blog,20_N_travel,travel_blog,travel_blog
